Simplified,Pinyin,Definition,HSK
放松,fàngsōng,relax; loosen; slacken,4
份,fèn,"part; portion; (mw for documents, papers, jobs, etc.)",4
丰富,fēngfù,rich; enrich; abundant; plentiful,4
否则,fǒuzé,if not; otherwise; or else,4
符合,fúhé,in keeping with; in accordance with; conform,4
父亲,fùqin,father,4
付款,fù kuǎn,to pay,4
负责,fùzé,responsible for (something); in charge of,4
复印,fùyìn,photocopy; duplicate,4
复杂,fùzá,complicated; complex,4
富,fù,wealthy,4
改变,gǎibiàn,to change; alter; to transform,4
干杯,gān bēi,to drink a toast; cheers!; bottoms up!,4
赶,gǎn,catch up; overtake; drive away,4
敢,gǎn,to dare,4
感动,gǎndòng,be moved; to touch emotionally,4
感觉,gǎnjué,to feel; become aware of; feeling,4
感情,gǎnqíng,feeling; emotion; sensation,4
感谢,gǎnxiè,thank; be grateful,4
干,gān,to concern; shield; dry; clean (Kangxi radical 51),4
刚,gāng,just (indicating the immediate past); recently; firm,4
高速公路,gāosù gōnglù,highway,4
胳膊,gēbo,arm,4
各,gè,each; every,4
工资,gōngzī,wages; pay; earnings; salary,4
公里,gōnglǐ,kilometer,4
功夫,gōngfu,kung fu; skill; art; labor,4
共同,gòngtóng,together; common; joint,4
购物,gòuwù,go shopping; buy goods,4
够,gòu,enough; to reach,4
估计,gūjì,appraise; estimate,4
鼓励,gǔlì,encourage; inspire,4
故意,gùyì,deliberately; intentional; on purpose,4
顾客,gùkè,customer; client,4
挂,guà,hang; put up; suspend,4
关键,guānjiàn,crucial; key; pivotal,4
观众,guānzhòng,spectator; audience,4
管理,guǎnlǐ,supervise; manage,4
光,guāng,light; ray; bright; only; merely; used up,4
广播,guǎngbō,broadcast; on the air,4
广告,guǎnggào,advertisement; a commercial,4
逛,guàng,to stroll; to visit; go window shopping,4
规定,guīdìng,regulation; stipulate; fix; set,4
国籍,guójí,nationality,4
国际,guójì,international,4
果汁,guǒzhī,fruit juice,4
过程,guòchéng,course of events; process,4
海洋,hǎiyáng,ocean,4
害羞,hài xiū,blush; shy,4
寒假,hánjià,winter vacation,4
汗,hàn,sweat; perspiration; Khan,4
航班,hángbān,scheduled flight; flight number,4
好处,hǎochu,benefit; advantage,4
好像,hǎoxiàng,as if; seem to be,4
号码,hàomǎ,number,4
合格,hégé,qualified; up to standard,4
合适,héshì,suitable; proper; appropriate,4
盒子,hézi,box,4
后悔,hòuhuǐ,to regret; repent,4
厚,hòu,thick (for flat things); generous,4
互联网,Hùliánwǎng,Internet,4
互相,hùxiāng,mutually; with each other,4
护士,hùshi,nurse,4
怀疑,huáiyí,doubt; to suspect; be skeptical,4
回忆,huíyì,to recall; recollect,4
活动,huódòng,activity; exercise; move about,4
活泼,huópo,lively; vivacious,4
火,huǒ,fire (Kangxi radical 86),4
获得,huòdé,obtain; acquire; to gain,4
积极,jījí,active; positive; energetic,4
积累,jīlěi,accumulate; accumulation,4
基础,jīchǔ,base; foundation,4
激动,jīdòng,excite; agitate,4
及时,jíshí,timely; in time; promptly; without delay,4
即使,jíshǐ,even if; even though,4
计划,jìhuà,plan; project,4
记者,jìzhě,reporter; journalist,4
技术,jìshù,technology; technique; skill,4
既然,jìrán,since; given that; now that,4
继续,jìxù,to continue; to go on; to proceed,4
寄,jì,send by mail,4
加班,jiā bān,work overtime,4
加油站,jiāyóuzhàn,gas station,4
家具,jiājù,furniture,4
假,"jiǎ, jià",fake; if; borrow | vacation; holiday,4
价格,jiàgé,price,4
坚持,jiānchí,persist in; persevere,4
减肥,jiǎnféi,go on a diet; lose weight,4
减少,jiǎnshǎo,reduce; to decrease,4
建议,jiànyì,to propose; to suggest; recommend,4
将来,jiānglái,the future,4
奖金,jiǎngjīn,bonus,4
降低,jiàngdī,reduce; to lower; to drop,4
降落,jiàngluò,descend; to land; put down,4
交,jiāo,deliver; turn over; intersect; to pay (money); friendship,4
交流,jiāoliú,communicate; exchange; give and take; interaction; to alternate,4
交通,jiāotōng,traffic; transportation,4
郊区,jiāoqū,suburbs; outskirts,4
骄傲,jiāo'ào,proud; arrogant; conceited; take pride in,4
饺子,jiǎozi,dumpling; potsticker,4
教授,jiàoshòu,professor; instruct; to lecture,4
教育,jiàoyù,education,4
接受,jiēshòu,"accept; receive (honors, etc.)",4
接着,jiēzhe,continue; carry on; to catch; follow,4
节,jié,section; part; festival; moral integrity; save; (mw for class periods),4
节约,jiéyuē,frugal; to save,4
结果,jiéguǒ,result; outcome; finally,4
解释,jiěshì,to explain,4
尽管,jǐnguǎn,despite; although; even though | freely; without hesitation,4
紧张,jǐnzhāng,nervous; tension; strain,4
进行,jìnxíng,carry on; carry out; undertake,4
禁止,jìnzhǐ,to ban; prohibit,4
京剧,jīngjù,Beijing Opera,4
经济,jīngjì,economy; economic,4
经历,jīnglì,undergo; to experience,4
经验,jīngyàn,experience,4
精彩,jīngcǎi,brilliant; spectacular; wonderful,4
景色,jǐngsè,scenery; landscape; scene; view,4
警察,jǐngchá,police,4
竞争,jìngzhēng,compete,4
竟然,jìngrán,unexpectedly; to one's surprise; go so far as to,4
镜子,jìngzi,mirror,4
究竟,jiūjìng,after all; when all is said and done; actually,4
举,jǔ,lift; raise; cite,4
举办,jǔbàn,to conduct; to hold,4
举行,jǔxíng,"convene; to hold (a meeting, ceremony, etc.)",4
拒绝,jùjué,to refuse; to decline; to reject,4
距离,jùlí,distance; be apart; away from,4
聚会,jùhuì,hold a meeting; get together; a party,4
开玩笑,kāi wánxiào,joke; play a joke; make fun of,4
开心,kāixīn,feel happy; have a great time; make fun of somebody,4
看法,kànfǎ,point of view; opinion,4
考虑,kǎolǜ,think over; consider,4
烤鸭,kǎoyā,roast duck,4
科学,kēxué,science; scientific knowledge,4
棵,kē,(mw for plants),4
咳嗽,késou,to cough,4
可怜,kělián,pitiful; poor; pathetic,4
可是,kěshì,but; however,4
可惜,kěxī,it's a pity; regrettable; too bad,4
客厅,kètīng,living room; parlor,4
肯定,kěndìng,sure; definite; affirm; approve,4
空,"kōng, kòng",empty; sky | leave blank; leisure,4
空气,kōngqì,air,4
恐怕,kǒngpà,be afraid; to fear; I'm afraid that...,4
苦,kǔ,bitter; miserable,4
矿泉水,kuàngquánshuǐ,mineral water,4
困,kùn,sleepy; surround; hard-pressed,4
困难,kùnnan,difficulty; difficult; problem,4
垃圾桶,lājītǒng,garbage can,4
拉,lā,to pull; to play (string instruments); to drag,4
辣,là,hot (spicy),4
来不及,lái bu jí,there's not enough time (to do something); it's too late,4
来得及,lái de jí,there's still time,4
来自,láizì,come from (a place),4
懒,lǎn,lazy,4
浪费,làngfèi,to waste; squander,4
浪漫,làngmàn,romantic,4
老虎,lǎohǔ,tiger,4
冷静,lěngjìng,calm; cool-headed; sober,4
礼拜天,lǐbàitiān,Sunday,4
礼貌,lǐmào,courtesy; politeness; manners,4
理发,lǐfà,"a barber, hairdressing; haircut",4
理解,lǐjiě,comprehend; understand,4
理想,lǐxiǎng,ideal,4
力气,lìqi,physical strength; effort,4
厉害,lìhai,terrible; formidable; fierce; cool; awesome,4
例如,lìrú,for example; for instance,4
俩,liǎng,(colloquial) two (people),4
连,lián,even; including; join,4
联系,liánxì,integrate; link; connection; contact,4
凉快,liángkuai,nice and cool; pleasantly cool,4
零钱,língqián,small change (of money),4
另外,lìngwài,another; in addition; besides,4
留,liú,"to leave (behind, a message); to retain; to stay",4
流利,liúlì,fluent,4
流行,liúxíng,spread; prevalent; be popular,4
旅行,lǚxíng,travel,4
律师,lǜshī,lawyer,4
乱,luàn,disorder; confusion; arbitrarily,4
麻烦,máfan,trouble (someone); troubling; bothersome,4
马虎,mǎhu,careless; sloppy; casual,4
满,mǎn,full; abbreviation for Manchurian,4
毛,máo,hair; fur; feather; dime (Kangxi radical 82),4
毛巾,máojīn,towel; washcloth,4
美丽,měilì,beautiful,4
梦,mèng,to dream,4
迷路,mílù,to get lost,4
密码,mìmǎ,password; secret code,4
免费,miǎn fèi,free (of charge); no cost,4
秒,miǎo,second (unit of time or angle),4
民族,mínzú,nationality; ethnic group,4
母亲,mǔqin,mother,4
目的,mùdì,purpose; aim; goal,4
耐心,nàixīn,to be patient,4
难道,nándào,could it be that ...?; don't tell me ...,4
难受,nánshòu,feel unwell; to suffer pain,4
内,nèi,inside; inner; internal; within,4
内容,nèiróng,content; substance; details,4
能力,nénglì,capability; capable; ability,4
年龄,niánlíng,(a person's) age,4
弄,nòng,do; manage; to handle; make,4
暖和,nuǎnhuo,warm; nice and warm,4
偶尔,ǒu'ěr,occasionally; once in a while; sometimes,4
排队,pái duì,queue; stand in line,4
排列,páiliè,arrange; align; permutation,4
判断,pànduàn,to judge; judgment; to decide,4
陪,péi,accompany; keep company,4
批评,pīpíng,criticize,4
皮肤,pífū,skin,4
脾气,píqi,temperament; disposition; temper,4
篇,piān,sheet; (mw for articles); piece of writing,4
骗,piàn,to cheat; to swindle; deceive,4
乒乓球,pīngpāngqiú,ping pong; table tennis,4
平时,píngshí,ordinarily; in normal times; in peacetime,4
破,pò,broken; damaged; to split,4
葡萄,pútao,grape,4
普遍,pǔbiàn,common; universal; general; widespread,4
普通话,pǔtōnghuà,Mandarin (common language),4
其次,qícì,next; secondly,4
其中,qízhōng,among; in; included among these,4
气候,qìhòu,climate; atmosphere; weather,4
千万,qiānwàn,ten million; be sure to; must,4
签证,qiānzhèng,visa,4
敲,qiāo,knock; blackmail,4
桥,qiáo,bridge,4
巧克力,qiǎokèlì,chocolate,4
亲戚,qīnqi,a relative (i.e. family relation),4
轻,qīng,light; easy; gentle; soft,4
轻松,qīngsōng,relaxed; gentle; easygoing,4
情况,qíngkuàng,circumstance; state of affairs; situation,4
穷,qióng,poor; exhausted,4
区别,qūbié,difference; distinguish,4
取,qǔ,to take; get; choose,4
全部,quánbù,whole; entire; complete,4
缺点,quēdiǎn,weak point; defect; fault; shortcoming,4
缺少,quēshǎo,to lack; be short of; be deficient in,4
却,què,but; yet; however,4
确实,quèshí,indeed; in truth; reliable,4
然而,rán'ér,however; yet; but,4
热闹,rènao,bustling; lively; busy,4
任何,rènhé,any; whatever; whichever,4
任务,rènwu,a mission; an assignment; a task,4
扔,rēng,to throw; throw away,4
仍然,réngrán,still; yet,4
日记,rìjì,diary,4
入口,rùkǒu,entrance,4
散步,sàn bù,to go for a walk,4
森林,sēnlín,forest,4
沙发,shāfā,sofa,4
伤心,shāngxīn,sad; grieve; brokenhearted,4
商量,shāngliang,consult; talk over; discuss,4
稍微,shāowēi,a little bit; slightly,4
勺子,sháozi,spoon; scoop; ladle,4
社会,shèhuì,society,4
申请,shēnqǐng,apply for; application,4
深,shēn,deep; profound; dark (of colors),4
甚至,shènzhì,even (to the point of); so much so that,4
生活,shēnghuó,life; livelihood; to live,4
生命,shēngmìng,life,4
生意,shēngyi,business; trade,4
省,shěng,to save; economize; omit; province,4
剩,shèng,have as remainder; be left over; surplus,4
失败,shībài,be defeated; fail; lose,4
失望,shīwàng,disappointed; lose hope,4
师傅,shīfu,master; qualified worker; teacher,4
十分,shífēn,very; fully; 100%,4
实际,shíjì,actual; reality; practice,4
实在,shízài,honest; in reality; honestly; indeed; certainly,4
使,shǐ,to use; to make; to cause; enable; envoy; messenger,4
使用,shǐyòng,to use; employ; apply; administer; manipulate,4
世纪,shìjì,century,4
是否,shìfǒu,whether (or not); if,4
适合,shìhé,to suit; to fit,4
适应,shìyìng,to suit; to fit; adapt,4
收,shōu,receive; accept; collect; to harvest,4
收入,shōurù,take in; income; revenue,4
收拾,shōushi,to tidy; put in order; to repair; to settle with; punish,4
首都,shǒudū,capital (city),4
首先,shǒuxiān,first (of all); in the first place; firstly,4
受不了,shòu bu liǎo,cannot endure; unbearable; can't stand,4
受到,shòudào,"receive (influence, restriction, etc.); be subjected to",4
售货员,shòuhuòyuán,salesclerk; shop assistant,4
输,shū,"to transport; to lose (a game, etc.)",4
熟悉,shúxī,familiar with; know well,4
数量,shùliàng,amount; quantity; number,4
数字,shùzì,number; numeral; figure; digit,4
帅,shuài,handsome; graceful; commander-in-chief,4
顺便,shùnbiàn,conveniently; in passing; on the way,4
顺利,shùnlì,go smoothly; without a hitch; successful,4
顺序,shùnxù,sequence; order,4
说明,shuōmíng,explain; explanation; illustrate; to show,4
硕士,shuòshì,Master's degree (M.A.),4
死,sǐ,to die; dead; fixed; impassible; extremely,4
速度,sùdù,speed; rate; velocity,4
塑料袋,sùliàodài,plastic bag,4
酸,suān,sour; sore; ache,4
随便,suíbiàn,as one pleases; informal; random; casual,4
随着,suízhe,along with; in the wake of,4
孙子,sūnzi,grandson; son's son,4
所有,suǒyǒu,all; to have; to possess,4
台,tái,platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters),4
抬,tái,to lift; to raise (with both palms up); carry (together),4
态度,tàidu,manner; bearing; attitude,4
谈,tán,to talk; to chat; discuss,4
弹钢琴,tán gāngqín,play the piano,4
汤,tāng,soup; broth,4
糖,táng,sugar; candy; sweets,4
躺,tǎng,recline; lie down (on back or side),4
趟,"tàng, tāng",(mw for trips times) | to wade,4
讨论,tǎolùn,to discuss; discussion; to talk over,4
讨厌,tǎoyàn,to hate; loathe; disgusting; troublesome,4
特点,tèdiǎn,a characteristic; trait; feature,4
提,tí,to carry; to lift; to raise (an issue),4
提供,tígōng,to supply; provide; furnish,4
提前,tíqián,shift to an earlier date; bring forward; to advance,4
提醒,tíxǐng,remind; call attention to; warn of,4
填空,tiánkòng,fill in the blanks; fill a vacancy,4
条件,tiáojiàn,condition; circumstances; prerequisite,4
停,tíng,to stop; to halt; to park (a car),4
挺,tǐng,straighten up; stick out; rather (good); very,4
通过,tōngguò,by means of; through (a method); pass through; via,4
通知,tōngzhī,notify; to inform; notice,4
同情,tóngqíng,compassion; sympathy,4
同时,tóngshí,at the same time; simultaneously,4
推,tuī,to push; to scrape; to decline; postpone; elect,4
推迟,tuīchí,postpone; defer,4
脱,tuō,to shed; take off; to escape,4
袜子,wàzi,socks; stockings,4
完全,wánquán,complete; whole; totally,4
网球,wǎngqiú,tennis; tennis ball,4
网站,wǎngzhàn,website,4
往往,wǎngwǎng,often; frequently; more often than not,4
危险,wēixiǎn,danger; dangerous; perilous,4
卫生间,wèishēngjiān,restroom; bathroom; water closet (WC),4
味道,wèidao,flavor; taste,4
温度,wēndù,temperature,4
文章,wénzhāng,article; essay,4
污染,wūrǎn,pollution; contamination,4
无,wú,have not; without; not (Kangxi radical 71),4
无聊,wúliáo,nonsense; bored; silly; stupid,4
无论,wúlùn,no matter what; regardless of whether...,4
误会,wùhuì,to misunderstand; to mistake,4
西红柿,xīhóngshì,tomato,4
吸引,xīyǐn,"attract (interest, investment, etc.)",4
咸,xián,salty; salted; all,4
现金,xiànjīn,cash,4
羡慕,xiànmù,to envy; admire,4
相反,xiāngfǎn,opposite; contrary,4
相同,xiāngtóng,identical; same; alike,4
香,xiāng,fragrant; savory (Kangxi radical 186),4
详细,xiángxì,detailed; in detail; minute,4
响,xiǎng,make a sound; to ring; echo,4
橡皮,xiàngpí,rubber; an eraser,4
消息,xiāoxi,news; information,4
小吃,xiǎochī,snack; refreshments,4
小伙子,xiǎohuǒzi,young man; lad; youngster,4
小说,xiǎoshuō,novel; fiction,4
笑话,xiàohua,joke; laugh at,4
效果,xiàoguǒ,effect; result,4
心情,xīnqíng,mood; state of mind,4
辛苦,xīnkǔ,hard; exhausting; toilsome; laborious,4
信封,xìnfēng,envelope,4
信息,xìnxī,information; news; message,4
信心,xìnxīn,confidence; faith (in sb. or sth.),4
兴奋,xīngfèn,excitement； be excited,4
行,xíng,walk; be current; do; will do; okay,4
醒,xǐng,wake up,4
幸福,xìngfú,happy; blessed; fortunate,4
性别,xìngbié,gender; sex; sexual distinction,4
性格,xìnggé,nature; personality; temperament,4
修理,xiūlǐ,to repair; perform maintenance; to overhaul,4
许多,xǔduō,many; a lot; much,4
学期,xuéqī,semester; school term,4
压力,yālì,pressure; stress,4
呀,ya,"ah; oh; (used for 啊 after words ending with a, e, i, o, or ü)",4
牙膏,yágāo,toothpaste,4
亚洲,Yàzhōu,Asia,4
严格,yángé,strict; stringent; tight,4
严重,yánzhòng,grave; serious; critical,4
研究,yánjiū,to study; to research,4
盐,yán,salt,4
眼镜,yǎnjìng,glasses; spectacles,4
演出,yǎnchū,to act (in a play); to perform; to put on a show; performance,4
演员,yǎnyuán,actor or actress; performer,4
阳光,yángguāng,sunshine; sunlight,4
养成,yǎngchéng,cultivate; acquire; to form,4
样子,yàngzi,manner; air; appearance; looks,4
邀请,yāoqǐng,to invite,4
要是,yàoshi,if; suppose; in case,4
钥匙,yàoshi,key,4
也许,yěxǔ,perhaps; probably; maybe,4
叶子,yèzi,leaves,4
页,yè,page; leaf (Kangxi radical 181),4
一切,yíqiè,all; every; everything,4
以,yǐ,to use; according to; so as to; for; by,4
以为,yǐwéi,think (mistakenly); consider (that); believe,4
艺术,yìshù,art,4
意见,yìjiàn,opinion; view; suggestion; complaint,4
因此,yīncǐ,therefore; thus; that is why; because of this,4
